Lig1, 0.38
Lig2, 0.9
Lig3, 2
Lig4, 0.4
Lig5, 2.7
Lig6, 5.1
Lig7, 17
Lig8, 40
Lig9, 260
Lig10, 56
Lig11, 10
Lig12, 340
