Lig1,Lig2,-1.16,0.03
Lig1,Lig3,-2.17,0.0
Lig1,Lig4,-2.49,0.10
Lig1,Lig5,-1.17,0.02
Lig1,Lig6,-1.23,0.03
Lig1,Lig7,0.10,0.03
Lig1,Lig8,0.78,0.07
Lig1,Lig9,-0.18,0.10
Lig1,Lig10,0.43,0.05
Lig1,Lig11,-1.31,0.12
Lig1,Lig12,-2.33,0.19
Lig2,Lig1,0.93,0.03
Lig2,Lig3,-1.30,0.01
Lig2,Lig6,-0.45,0.40
Lig3,Lig1,2.29,0.03
Lig3,Lig2,0.95,0.06
Lig3,Lig4,-0.28,0.05
Lig4,Lig1,2.23,0.11
Lig4,Lig3,-0.07,0.05
Lig5,Lig1,1.51,0.01
Lig5,Lig6,0.22,0.10
Lig5,Lig7,1.24,0.04
Lig6,Lig1,1.36,0.03
Lig6,Lig2,0.50,0.04
Lig6,Lig5,-0.63,0.10
Lig7,Lig1,-0.36,0.06
Lig7,Lig5,-1.27,0.04
Lig7,Lig8,0.74,0.06
Lig8,Lig1,-0.69,0.08
Lig8,Lig7,-0.86,0.06
Lig8,Lig9,-0.93,0.03
Lig9,Lig1,-1.13,0.11
Lig9,Lig8,0.52,0.04
Lig9,Lig11,0.62,0.05
Lig10,Lig1,-0.41,0.05
Lig10,Lig12,-0.66,0.03
Lig11,Lig1,0.57,0.13
Lig11,Lig9,0.21,0.06
Lig11,Lig12,-1.26,0.05
Lig12,Lig1,1.99,0.18
Lig12,Lig10,1.78,0.03
Lig12,Lig11,1.49,0.05
