Lig5,Lig3,-0.94,0.05
Lig5,Lig2,0.35,0.05
Lig5,Lig1,-0.71,0.09
Lig5,Lig4,-0.91,0.06
Lig5,Lig10,-1.48,0.12
Lig5,Lig11,-1.55,0.09
Lig3,Lig5,1.05,0.05
Lig2,Lig5,-0.59,0.04
Lig1,Lig5,0.26,0.08
Lig4,Lig5,0.99,0.06
Lig10,Lig5,2.21,0.12
Lig11,Lig5,-0.04,0.09
Lig6,Lig5,1.81,0.13
Lig8,Lig5,2.46,0.18
Lig3,Lig2,1.31,0.09
Lig2,Lig3,-1.28,0.09
Lig2,Lig1,-0.97,0.06
Lig1,Lig2,0.54,0.06
Lig1,Lig4,-0.68,0.06
Lig4,Lig1,0.29,0.05
Lig4,Lig10,-0.30,0.13
Lig10,Lig4,0.54,0.13
Lig10,Lig11,1.34,0.06
Lig11,Lig10,-0.93,0.06
Lig7,Lig6,2.01,0.12
Lig7,Lig8,-0.18,0.17
Lig8,Lig7,0.29,0.16
