Lig5,Lig3,0.53,0.03
Lig5,Lig2,1.46,0.03
Lig5,Lig1,1.11,0.04
Lig5,Lig4,-1.07,0.04
Lig5,Lig10,-2.31,0.06
Lig5,Lig11,-1.79,0.04
Lig3,Lig5,-0.12,0.03
Lig2,Lig5,-2.02,0.04
Lig1,Lig5,-0.96,0.05
Lig4,Lig5,0.67,0.04
Lig10,Lig5,4.20,0.06
Lig11,Lig5,3.24,0.04
Lig5,Lig6,-2.23,0.07
Lig6,Lig5,-0.85,0.07
Lig5,Lig8,-1.98,0.10
Lig8,Lig5,3.45,0.10
Lig3,Lig2,1.15,0.05
Lig2,Lig3,-0.77,0.06
Lig2,Lig1,-0.74,0.04
Lig1,Lig2,0.61,0.04
Lig1,Lig4,-0.81,0.03
Lig4,Lig1,1.02,0.03
Lig4,Lig10,-2.92,0.07
Lig10,Lig4,3.19,0.07
Lig10,Lig11,1.52,0.04
Lig11,Lig10,-0.36,0.04
Lig6,Lig7,-1.21,0.06
Lig7,Lig6,0.72,0.06
Lig7,Lig8,1.34,0.10
Lig8,Lig7,-0.67,0.90
